strategy_class,strategy,window_sec,date,title,score,final_margin,winner,question,outcome,loss_requires_goals,line,required_margin,final_total,team,team_goals,loser,spread_side,locked,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.95,size_le_0.95,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,caution
locked_after_result,team_total_over_locked,180,2026-06-20,Netherlands vs. Sweden,5-1,4,Netherlands,Netherlands vs. Sweden: Sweden O/U 0.5,Over,999,0.5,,,Sweden,1,,,True,1,1.44,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,1.44,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-20,Netherlands vs. Sweden,5-1,4,Netherlands,Netherlands vs. Sweden: O/U 5.5,Over,999,5.5,,6,,,,,True,36,23010.6,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,36,23010.6,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-20,Netherlands vs. Sweden,5-1,4,Netherlands,Netherlands vs. Sweden: Both Teams to Score,Yes,999,,,,,,,,True,10,46496.41,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,10,46496.41,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-20,Germany vs. Côte d'Ivoire,2-1,1,Germany,Germany vs. Côte d'Ivoire: Both Teams to Score,Yes,999,,,,,,,,True,17,1097.74,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,17,1097.74,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-21,Tunisia vs. Japan,0-4,4,Japan,Tunisia vs. Japan: Japan O/U 2.5,Over,999,2.5,,,Japan,4,,,True,4,560.91,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,4,560.91,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-21,Tunisia vs. Japan,0-4,4,Japan,Tunisia vs. Japan: O/U 3.5,Over,999,3.5,,4,,,,,True,7,1250.51,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,7,1250.51,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-21,Spain vs. Saudi Arabia,4-0,4,Spain,Spain vs. Saudi Arabia: O/U 3.5,Over,999,3.5,,4,,,,,True,2,35.03,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,35.03,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-21,Uruguay vs. Cabo Verde,2-2,0,,Uruguay vs. Cabo Verde: Cabo Verde O/U 1.5,Over,999,1.5,,,Cabo Verde,2,,,True,1,28.57,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,28.57,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-21,Uruguay vs. Cabo Verde,2-2,0,,Uruguay vs. Cabo Verde: O/U 3.5,Over,999,3.5,,4,,,,,True,7,1828.53,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,7,1828.53,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-21,Uruguay vs. Cabo Verde,2-2,0,,Uruguay vs. Cabo Verde: Both Teams to Score,Yes,999,,,,,,,,True,1,4.1,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,4.1,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
